restaurant,name,price
Jack in the Box (337 G St.),Strawberry Red Daze Red Bull® Infusion,$6.86
Jack in the Box (337 G St.),Berry Purple Daze Red Bull® Infusion,$6.86
Jack in the Box (337 G St.),Red Bull® Energy Can,$4.36
Jack in the Box (337 G St.),Mocha Sweet Cream Iced Coffee,Priced by add-ons
Jack in the Box (337 G St.),Caramel Sweet Cream Iced Coffee,Priced by add-ons
Jack in the Box (337 G St.),High Mountain Arabica Coffee,$3.36
Jack in the Box (337 G St.),Minute Maid® Apple Juice,$2.99
Jack in the Box (337 G St.),Simply Orange®,$4.74
Jack in the Box (337 G St.),Dasani® Bottled Water,$3.74
Jack in the Box (337 G St.),Milk,$3.99
Jack in the Box (337 G St.),Bacon & Swiss Buttery Smashed Jack™,$12.49
Jack in the Box (337 G St.),Buttery Smashed Jack™,$11.24
Jack in the Box (337 G St.),Bacon Double Smashed Jack™,$13.74
Jack in the Box (337 G St.),Classic Smashed Jack™,$11.24
Jack in the Box (337 G St.),Bacon Ultimate Cheeseburger™,$11.24
Jack in the Box (337 G St.),Ultimate Cheeseburger™,$10.49
Jack in the Box (337 G St.),Double Jack®,$10.49
Jack in the Box (337 G St.),Sourdough Jack®,$9.99
Jack in the Box (337 G St.),Jumbo Jack® Cheeseburger,$8.11
Jack in the Box (337 G St.),Jumbo Jack®,$7.49
Jack in the Box (337 G St.),Jr. Jumbo Jack® Cheeseburger,$4.24
Jack in the Box (337 G St.),Homestyle Ranch Chicken Club,$11.61
Jack in the Box (337 G St.),Jack's Spicy Chicken® w/ Cheese,$10.36
Jack in the Box (337 G St.),Jack's Spicy Chicken®,$9.99
Jack in the Box (337 G St.),Cluck Sandwich,$9.86
Jack in the Box (337 G St.),Grilled Chicken Sandwich,$10.36
Jack in the Box (337 G St.),5pc Crispy Chicken Strips,$12.36
Jack in the Box (337 G St.),3pc Crispy Chicken Strips,$9.86
Jack in the Box (337 G St.),8pc Chicken Nuggets,$6.49
Jack in the Box (337 G St.),Chicken Teriyaki Bowl,$10.49
Jack in the Box (337 G St.),Chicken Teriyaki Bowl w/ Brown Rice,$10.49
Jack in the Box (337 G St.),6PC Classic French Toast Sticks,$8.11
Jack in the Box (337 G St.),Grande Sausage Burrito,$8.74
Jack in the Box (337 G St.),Supreme Croissant,$7.74
Jack in the Box (337 G St.),Sausage Croissant,$7.49
Jack in the Box (337 G St.),Supreme Sourdough Breakfast Sandwich,$8.11
Jack in the Box (337 G St.),Meat Lovers Breakfast Burrito,$8.74
Jack in the Box (337 G St.),Loaded Breakfast Sandwich,$8.74
Jack in the Box (337 G St.),Extreme Sausage® Sandwich,$7.99
Jack in the Box (337 G St.),Ultimate Breakfast Sandwich,$8.49
Jack in the Box (337 G St.),Breakfast Jack®,$4.36
Jack in the Box (337 G St.),Sausage Breakfast Jack®,$4.86
Jack in the Box (337 G St.),Hash Brown,$3.74
Jack in the Box (337 G St.),Garden Salad w/ Grilled Chicken Combo,$12.99
Jack in the Box (337 G St.),Garden Salad w/ Crispy Chicken Combo,$12.99
Jack in the Box (337 G St.),Southwest Salad w/ Grilled Chicken Combo,$13.36
Jack in the Box (337 G St.),Southwest Salad w/ Crispy Chicken Combo,$13.36
Local Kitchens - Davis,The SOB Combo,$18.05
Local Kitchens - Davis,The Hot SOB Combo,$18.05
Local Kitchens - Davis,The Bacon SOB Combo,$21.65
Local Kitchens - Davis,The Overachieving SOB Combo,$24.05
Local Kitchens - Davis,Griddled Mortadella Combo,$18.05
Local Kitchens - Davis,Italian Chopped Salad Combo,$18.05
Local Kitchens - Davis,Italian Turkaletta Combo,$18.05
Local Kitchens - Davis,Turkey BLTA Combo,$18.05
Local Kitchens - Davis,Koi Palace Full Menu Combo,$43.25
Local Kitchens - Davis,Koi Palace Sampler,$24.05
Local Kitchens - Davis,Black Garlic Cauliflower,$9.65
Local Kitchens - Davis,Hummus,$12.05
Local Kitchens - Davis,Jumbo Tenders,$14.45
Local Kitchens - Davis,Buffalo Wings,$18.05
Local Kitchens - Davis,Quesabirria Dipping Taco (2pc),$13.25
Local Kitchens - Davis,Steamed BBQ Pork Buns,$9.65
Local Kitchens - Davis,Crispy Shrimp Dumplings,$12.05
Local Kitchens - Davis,Potstickers,$12.05
Local Kitchens - Davis,Vegetarian Spring Rolls,$8.45
Local Kitchens - Davis,Vietnamese Egg Rolls,$12.05
Local Kitchens - Davis,Woozy Fries,$11.95
Local Kitchens - Davis,Proper Fries,$15.65
Local Kitchens - Davis,Grilled Chicken Bowl,$15.65
Local Kitchens - Davis,Birria Beef Bowl,$16.85
Local Kitchens - Davis,Roasted Cauliflower Bowl,$14.45
Local Kitchens - Davis,Zesty Nopalito Chopped Salad,$14.45
Local Kitchens - Davis,Italian Chopped Salad,$14.75
Local Kitchens - Davis,Tamarind Jackfruit Salad,$14.45
Local Kitchens - Davis,The SOB,$12.05
Local Kitchens - Davis,The Hot SOB,$13.25
Local Kitchens - Davis,The Bacon SOB,$15.65
Local Kitchens - Davis,The Overachieving SOB,$16.85
Local Kitchens - Davis,Grilled Cheese,$8.45
Local Kitchens - Davis,1/4 Bird | Boneless,$15.65
Local Kitchens - Davis,The Sammich,$15.65
Local Kitchens - Davis,Amba Chicken Pita,$15.65
Local Kitchens - Davis,Green Falafel Pita,$14.45
Local Kitchens - Davis,Griddled Mortadella,$16.15
Local Kitchens - Davis,Italian Turkaletta,$16.15
Local Kitchens - Davis,Turkey BLTA,$17.35
Local Kitchens - Davis,Birria Beef Burrito,$18.05
Local Kitchens - Davis,Grilled Chicken Burrito,$16.85
Local Kitchens - Davis,Roasted Cauliflower Burrito,$15.65
Local Kitchens - Davis,The Broke Chick Tam,$16.85
Local Kitchens - Davis,The Rich Pork Belly Tam,$19.25
Local Kitchens - Davis,Spicy Pork Belly Fried Rice,$18.05
Local Kitchens - Davis,Amba Chicken Rice Plate,$18.05
Local Kitchens - Davis,Amba Chicken Hummus Plate,$20.45
Local Kitchens - Davis,Green Falafel Rice Plate,$16.85
Local Kitchens - Davis,Green Falafel Hummus Plate,$19.25
Local Kitchens - Davis,Regular Square,$22.85
Local Kitchens - Davis,How Mush-Room,$28.85
Local Kitchens - Davis,The 6x8,$30.05
Local Kitchens - Davis,Mush-o-Roni,$31.25
Local Kitchens - Davis,The Big Von,$31.25
Local Kitchens - Davis,Fries,$4.85
Local Kitchens - Davis,Garlic Fries,$8.45
Local Kitchens - Davis,Crinkle Cut Fries,$6.05
Local Kitchens - Davis,Pickled Slaw (8oz),$4.85
Local Kitchens - Davis,Pickles (8oz),$3.65
Local Kitchens - Davis,Chips and Guacamole,$10.85
Local Kitchens - Davis,Chips and Salsa,$7.25
Local Kitchens - Davis,Mexican Rice,$3.65
Local Kitchens - Davis,Fragrant Broken Rice,$3.65
Local Kitchens - Davis,Vietnamese Pork & Egg Quiche,$3.65
Local Kitchens - Davis,Green Falafel,$7.25
Local Kitchens - Davis,Pita Bread,$2.45
Local Kitchens - Davis,Dirty Salt & Vinegar Potato Chips,$3.05
Local Kitchens - Davis,Molasses Chocolate Chunk Cookie,$3.65
Local Kitchens - Davis,Lava Buns,$9.65
Local Kitchens - Davis,Compost Cookie,$4.85
Local Kitchens - Davis,Confetti Cookie,$4.85
Local Kitchens - Davis,Cornflake Chocolate Chip Marshmallow Cookie,$4.85
Local Kitchens - Davis,Milk Bar Pie Slice,$9.65
Local Kitchens - Davis,Malted Milk Chocolate Ice Cream,$13.25
Local Kitchens - Davis,Vietnamese Coffee Ice Cream,$13.25
Local Kitchens - Davis,Classic Black,$6.75
Local Kitchens - Davis,Jasmine Green,$6.75
Local Kitchens - Davis,Matcha Latte,$7.35
Local Kitchens - Davis,Strawberry Matcha Latte,$7.95
Local Kitchens - Davis,Strawberry Fields,$7.35
Local Kitchens - Davis,Strawberry Jasmine Fresca,$6.75
Local Kitchens - Davis,Hong Kong Milk Tea,$6.75
Local Kitchens - Davis,Thai Tea,$6.75
Local Kitchens - Davis,Coke Can,$3.65
Local Kitchens - Davis,Diet Coke Can,$3.65
Local Kitchens - Davis,Sprite Can,$3.65
Local Kitchens - Davis,Mexican Coke,$4.85
Local Kitchens - Davis,Olipop Classic Root Beer,$4.85
Local Kitchens - Davis,Olipop Strawberry Vanilla,$4.85
Local Kitchens - Davis,Lacroix Grapefruit Sparkling Water,$3.05
Local Kitchens - Davis,Lacroix Lime Sparkling Water,$3.05
