Category,Name,Price,Description,Base Calories,Max Calories
Burger Combos,Double Jack® Combo,13.58,"2x 100% beef seasoned as it grills, American cheese, tomatoes, lettuce, pickles, onions, ketchup, mustard & mayo on a buttery bun, plus fries & a drink.",,
Burger Combos,Sourdough Jack® Combo,13.08,"100% beef seasoned as it grills, hickory smoked bacon, tomato, melty Swiss style cheese, mayo & ketchup on toasted sourdough bread, plus fries & a drink.",,
Burger Combos,Jumbo Jack® Cheeseburger Combo,11.78,"100% beef seasoned as it grills, melty American cheese, lettuce, tomato, pickles, onions, ketchup & mayo on a buttery bakery bun, plus fries & a drink.",,
Burger Combos,Jumbo Jack® Combo,11.28,"100% beef seasoned as it grills, lettuce, tomato, pickles, onions, ketchup & mayo on a buttery bakery bun, plus hot & salty fries & a drink.",,
Chicken Combos,12pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,15.78,12pc 100% all-white meat Crispy Boneless Wings tossed in Smoke Show Smoky BBQ sauce plus fries & drink. This smoky sweet BBQ sauce is too good for napkins.,,
Chicken Combos,12pc Honey Garlic Sriracha Crispy Boneless Wings Combo,15.78,"12pc 100% all-white meat Honey Garlic Sriracha Crispy Boneless Wings served w/ Buttermilk Ranch, plus fries & a drink. It's the perfect blend of sweet heat.? ",,
Chicken Combos,12pc Classic Crispy Boneless Wings Combo,15.78,"Cars, movies, books…sometimes, the classics are better. Like my 12 Classic, 100% all-white meat Crispy Boneless Wings that come with fries and a drink. ",,
Chicken Combos,6pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,10.78,"6pc 100% all-white meat Crispy Boneless Wings tossed in Smoke Show Smoky BBQ sauce, plus fries & drink. This smoky sweet BBQ sauce is too good for napkins.",,
Chicken Combos,6pc Honey Garlic Sriracha Crispy Boneless Wings Combo,10.78,"6pc 100% all-white meat Honey Garlic Sriracha Crispy Boneless Wings served w/ Buttermilk Ranch, plus fries & a drink. It's the perfect blend of sweet heat. ",,
Chicken Combos,6pc Classic Crispy Boneless Wings Combo,10.78,"Cars, movies, books…sometimes, the classics are better. Like my six Classic, 100% all-white meat Crispy Boneless Wings that come with fries and a drink.  ",,
